Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent;QOxygen;POxygen;TOxygen;DeltaPOxygen;QNitrogenLanceWindow;QNitrogenBoiler;RB5;RB6;RB7;RB8;RB9;RB10;RB11;RB12;NeuralC
19.10.2012 15:09:37;503;1202,55902099609;0,02;9,12;0;37,33;52,8;0,73;385061,078125;50;3,09467954757043;0;0;-1725;1202,58917236328;18,1302947998047;15,5364151000977;694,136199951172;3292;6376;0;0;0;4008;3980;0;1504;0;0,0107631886536268
19.10.2012 15:09:38;503;1195,73559570313;0,06;7,15;0,3;41,3;50,48;0,71;385197;50;3,0946664728093;0;0;-1729;1193,78558349609;18,1302947998047;15,5364151000977;682,851806640625;3226;6313;0;0;0;4008;3980;0;1504;0;0,0114879388522845
19.10.2012 15:09:39;503;1185,61596679688;0,12;5,8;0,72;43,87;48,8;0,69;386177,953125;50;3,09465263980067;0;0;-1740;1187,89898681641;18,1360816955566;15,5364151000977;677,643615722656;3167;6252;0;0;0;4008;3980;0;1504;0;0,0126513077685143
19.10.2012 15:09:40;503;1188,37915039063;0,19;4,76;1,1;45,84;47,43;0,68;386807,9375;50;3,09463316233517;0;0;-1742;1188,88525390625;18,1476554870605;15,5508842468262;678,800964355469;3169;6255;0;0;0;4008;3980;0;1504;0;0,0142794872694139
19.10.2012 15:09:41;503;1195,998046875;0,24;4,45;0,39;45,79;48,44;0,69;385897,328125;50;3,0946108317667;0;0;-1745;1196,75640869141;18,1245079040527;15,5653533935547;688,059997558594;3262;6351;0;0;0;4008;3980;0;1504;0;0,0162675795449687
19.10.2012 15:09:42;503;1202,86871337891;0,05;7,67;0;36,17;55,37;0,74;384266,515625;50;3,09458748430748;0;0;-1752;1204,11853027344;18,1013603210449;15,5653533935547;697,608337402344;3232;6322;0;0;0;4008;3980;0;1504;0;0,0181699943478584
19.10.2012 15:09:43;503;1205,36578369141;0;11,83;0;25,27;62,11;0,79;382155,859375;50;3,09456813946499;0;0;-1752;1203,8681640625;18,1013603210449;15,5653533935547;697,319000244141;3201;6289;0;0;0;4008;3980;0;1504;0;0,0190089350109822
19.10.2012 15:09:44;503;1194,84387207031;0;13,66;0;20,5;65,03;0,81;381250,359375;50;3,09454630990715;0;0;-1749;1194,34143066406;18,1013603210449;15,5653533935547;686,323913574219;3254;6346;0;0;0;4008;3980;0;1504;0;0,0201659244078821
19.10.2012 15:09:45;503;1196,60461425781;0;14,25;0;18,78;66,16;0,82;381242,15625;50;3,09452302514536;0;0;-2147483648;1196,60461425781;18,1013603210449;15,5653533935547;688,928009033203;3193;6291;0;0;0;4008;3980;0;1504;0;0,0210663193666139
19.10.2012 15:09:46;503;1204,23608398438;0;14,04;0;18,62;66,5;0,83;382443,484375;50;3,0945072607835;0;0;-2147483648;1204,23608398438;18,1129341125488;15,5653533935547;693,846862792969;3201;6298;0;0;0;4008;3980;0;1504;0;0,0217314837456812
19.10.2012 15:09:47;503;1201,80358886719;0;12,85;0;20,03;66,27;0,84;384722,78125;50;3,09448544360625;0;0;-1752;1201,98529052734;18,1071472167969;15,5653533935547;694,136199951172;3201;6295;0;0;0;4008;3980;0;1504;0;0,0219135132012152
19.10.2012 15:09:48;503;1193,24963378906;0;10,34;0;23,33;65,49;0,84;387226,21875;50;3,09446551833564;0;0;-1762;1194,58902994792;18,0666389465332;15,5653533935547;686,323913574219;3234;6327;0;0;0;4008;3980;0;1504;0;0,0228269210801613
19.10.2012 15:09:49;503;1197,52447509766;0;7,34;0;27,87;63,96;0,84;389657,53125;50;3,0944467378305;0;0;-1779;1202,27917480469;18,0782127380371;15,5653533935547;696,740295410156;3260;6352;0;0;0;4008;3980;0;1504;0;0,0241210139173774
19.10.2012 15:09:50;503;1202,27825927734;0;4,84;0;31,69;62,64;0,84;389263,395833333;50;3,0944292816513;0;0;-1798;1201,279296875;18,0724258422852;15,5653533935547;695,582916259766;3200;6294;0;0;0;4008;3980;0;1504;0;0,0244902234439093
19.10.2012 15:09:51;503;1197,88647460938;0;3,29;0;33,7;62,19;0,83;390921,375;50;3,09441362541057;0;0;-1817;1197,38055419922;18,0782127380371;15,5653533935547;690,664093017578;3208;6301;0;0;0;4008;3980;0;1504;0;0,0249716605009937
19.10.2012 15:09:52;503;1194,09106445313;0;2,4;0;34,5;62,28;0,82;388598,510416667;50;3,09439747764779;0;0;-1826;1194,34301757813;18,089786529541;15,5653533935547;686,323913574219;3261;6354;0;0;0;4008;3980;0;1504;0;0,0249763752595761
19.10.2012 15:09:53;503;1199,57238769531;0,03;1,63;0,29;34,78;62,43;0,83;384486,578125;50;3,09438227030168;0;0;-1830;1200,32470703125;18,0839996337891;15,5653533935547;693,846893310547;3225;6319;0;0;0;4008;3980;0;1504;0;0,0246187866013147
